"Month","Day","Year","Hr","Inverter_hr_mean"
"1","22","17","10",2454.5
"1","22","17","11",3460
"1","22","17","12",3636.5
"1","22","17","13",1208.75
"1","22","17","14",605.5
"1","22","17","15",247.25
"1","22","17","16",73.05
"1","22","17","17",0.2975
"1","22","17","18",0
"1","22","17","19",0
"1","22","17","2",0
"1","22","17","20",0
"1","22","17","21",0
"1","22","17","22",0
"1","22","17","23",0
"1","22","17","3",0
"1","22","17","4",0
"1","22","17","5",0
"1","22","17","6",0
"1","22","17","7",113.0545
"1","22","17","8",454.75
"1","22","17","9",1853.25
"1","23","17","0",0
"1","23","17","1",0
"1","23","17","10",258.25
"1","23","17","11",446
"1","23","17","12",475
"1","23","17","13",376.75
"1","23","17","14",290.25
"1","23","17","15",121.875
"1","23","17","16",28.585
"1","23","17","17",0
"1","23","17","18",0
"1","23","17","19",0
"1","23","17","2",0
"1","23","17","20",0
"1","23","17","21",0
"1","23","17","22",0
"1","23","17","23",0
"1","23","17","3",0
"1","23","17","4",0
"1","23","17","5",0
"1","23","17","6",0
"1","23","17","7",63.21
"1","23","17","8",195.575
"1","23","17","9",216.75
"1","24","17","0",0
"1","24","17","1",0
"1","24","17","10",404.5
"1","24","17","11",735.25
"1","24","17","12",645
"1","24","17","13",435.25
"1","24","17","14",472
"1","24","17","15",416.25
"1","24","17","16",58.35
"1","24","17","17",0.5925
"1","24","17","18",0
"1","24","17","19",0
"1","24","17","2",0
"1","24","17","20",0
"1","24","17","21",0
"1","24","17","22",0
"1","24","17","23",0
"1","24","17","3",0
"1","24","17","4",0
"1","24","17","5",0
"1","24","17","6",0
"1","24","17","7",26.75
"1","24","17","8",148.525
"1","24","17","9",409
"1","25","17","0",0
"1","25","17","1",0
"1","25","17","10",1343.5
"1","25","17","11",726.5
"1","25","17","12",424.5
"1","25","17","13",706.5
"1","25","17","14",340.5
"1","25","17","15",158.75
"1","25","17","16",38.6
"1","25","17","17",0.136
"1","25","17","18",0
"1","25","17","19",0
"1","25","17","2",0
"1","25","17","20",0
"1","25","17","21",0
"1","25","17","22",0
"1","25","17","23",0
"1","25","17","3",0
"1","25","17","4",0
"1","25","17","5",0
"1","25","17","6",0
"1","25","17","7",46.49
"1","25","17","8",320.75
"1","25","17","9",1235
"1","26","17","0",0
"1","26","17","1",0
"1","26","17","10",398
"1","26","17","11",696.75
"1","26","17","12",813.5
"1","26","17","13",299.75
"1","26","17","14",543
"1","26","17","15",186.975
"1","26","17","16",50.675
"1","26","17","17",0.01475
"1","26","17","18",0
"1","26","17","19",0
"1","26","17","2",0
"1","26","17","20",0
"1","26","17","21",0
"1","26","17","22",0
"1","26","17","23",0
"1","26","17","3",0
"1","26","17","4",0
"1","26","17","5",0
"1","26","17","6",0
"1","26","17","7",52.1125
"1","26","17","8",117.575
"1","26","17","9",230
"1","27","17","0",0
"1","27","17","1",0
"1","27","17","10",314.5
"1","27","17","11",337
"1","27","17","12",317.25
"1","27","17","13",389
"1","27","17","14",235.25
"1","27","17","15",132.75
"1","27","17","16",38.235
"1","27","17","17",0
"1","27","17","18",0
"1","27","17","19",0
"1","27","17","2",0
"1","27","17","20",0
"1","27","17","21",0
"1","27","17","22",0
"1","27","17","23",0
"1","27","17","3",0
"1","27","17","4",0
"1","27","17","5",0
"1","27","17","6",0
"1","27","17","7",34.22925
"1","27","17","8",203.75
"1","27","17","9",310.5
"1","28","17","0",0
"1","28","17","1",0
"1","28","17","10",839.25
"1","28","17","11",1952.75
"1","28","17","12",2867.75
"1","28","17","13",2453.5
"1","28","17","14",1471.25
"1","28","17","15",489.5
"1","28","17","16",46.1
"1","28","17","17",0
"1","28","17","18",0
"1","28","17","19",0
"1","28","17","2",0
"1","28","17","20",0
"1","28","17","21",0
"1","28","17","22",0
"1","28","17","23",0
"1","28","17","3",0
"1","28","17","4",0
"1","28","17","5",0
"1","28","17","6",0
"1","28","17","7",48.26425
"1","28","17","8",171.25
"1","28","17","9",462.25
"1","29","17","0",0
"1","29","17","1",0
"1","29","17","10",151.25
"1","29","17","11",217
"1","29","17","12",388.25
"1","29","17","13",356.5
"1","29","17","14",586.25
"1","29","17","15",263.5
"1","29","17","16",69.925
"1","29","17","17",1.1375
"1","29","17","18",0
"1","29","17","19",0
"1","29","17","2",0
"1","29","17","20",0
"1","29","17","21",0
"1","29","17","22",0
"1","29","17","23",0
"1","29","17","3",0
"1","29","17","4",0
"1","29","17","5",0
"1","29","17","6",0
"1","29","17","7",12.7775
"1","29","17","8",149.8
"1","29","17","9",215.5
"1","3","17","0",0
"1","3","17","1",0
"1","3","17","10",196.5
"1","3","17","11",124.75
"1","3","17","12",206
"1","3","17","13",334.5
"1","3","17","14",157.375
"1","3","17","15",65.375
"1","3","17","16",8.73025
"1","3","17","17",0
"1","3","17","18",0
"1","3","17","19",0
"1","3","17","2",0
"1","3","17","20",0
"1","3","17","21",0
"1","3","17","22",0
"1","3","17","23",0
"1","3","17","3",0
"1","3","17","4",0
"1","3","17","5",0
"1","3","17","6",0
"1","3","17","7",18.175
"1","3","17","8",136.625
"1","3","17","9",332.5
"1","30","17","0",0
"1","30","17","1",0
"1","30","17","10",972
"1","30","17","11",3496.75
"1","30","17","12",2564
"1","30","17","13",3883.75
"1","30","17","14",3157.5
"1","30","17","15",1397.75
"1","30","17","16",285.5
"1","30","17","17",7.925
"1","30","17","18",0
"1","30","17","19",0
"1","30","17","2",0
"1","30","17","20",0
"1","30","17","21",0
"1","30","17","22",0
"1","30","17","23",0
"1","30","17","3",0
"1","30","17","4",0
"1","30","17","5",0
"1","30","17","6",0
"1","30","17","7",42.4575
"1","30","17","8",232.5
"1","30","17","9",510.75
"1","31","17","0",0
"1","31","17","1",0
"1","31","17","10",2407.25
"1","31","17","11",1909
"1","31","17","12",1720
"1","31","17","13",1587
"1","31","17","14",1036.75
"1","31","17","15",640.75
"1","31","17","16",120.95
"1","31","17","17",1.6575
"1","31","17","18",0
"1","31","17","19",0
"1","31","17","2",0
"1","31","17","20",0
"1","31","17","21",0
"1","31","17","22",0
"1","31","17","23",0
"1","31","17","3",0
"1","31","17","4",0
"1","31","17","5",0
"1","31","17","6",0
"1","31","17","7",64.2025
"1","31","17","8",505
"1","31","17","9",1418.25
"1","4","17","0",0
"1","4","17","1",0
"1","4","17","10",3166.5
"1","4","17","11",4162.25
"1","4","17","12",3745.5
"1","4","17","13",2666.25
"1","4","17","14",1488.25
"1","4","17","15",550.75
"1","4","17","16",34.555
"1","4","17","17",0
"1","4","17","18",0
"1","4","17","19",0
"1","4","17","2",0
"1","4","17","20",0
"1","4","17","21",0
"1","4","17","22",0
"1","4","17","23",0
"1","4","17","3",0
"1","4","17","4",0
"1","4","17","5",0
"1","4","17","6",0
"1","4","17","7",148.445
"1","4","17","8",1221
"1","4","17","9",2339.5
"1","5","17","0",0
"1","5","17","1",0
"1","5","17","10",111
"1","5","17","11",135.2
"1","5","17","12",263.25
"1","5","17","13",206.5
"1","5","17","14",153.75
"1","5","17","15",73.025
"1","5","17","16",11.605
"1","5","17","17",0
"1","5","17","18",0
"1","5","17","19",0
"1","5","17","2",0
"1","5","17","20",0
"1","5","17","21",0
"1","5","17","22",0
"1","5","17","23",0
"1","5","17","3",0
"1","5","17","4",0
"1","5","17","5",0
"1","5","17","6",0
"1","5","17","7",4.9875
"1","5","17","8",50.8
"1","5","17","9",122.425
"1","6","17","0",0
"1","6","17","1",0
"1","6","17","10",725
"1","6","17","11",656.25
"1","6","17","12",494.5
"1","6","17","13",540.5
"1","6","17","14",286.5
"1","6","17","15",65.025
"1","6","17","16",9.6135
"1","6","17","17",0
"1","6","17","18",0
"1","6","17","19",0
"1","6","17","2",0
"1","6","17","20",0
"1","6","17","21",0
"1","6","17","22",0
"1","6","17","23",0
"1","6","17","3",0
"1","6","17","4",0
"1","6","17","5",0
"1","6","17","6",0
"1","6","17","7",12.315
"1","6","17","8",155
"1","6","17","9",418.75
"1","7","17","0",0
"1","7","17","1",0
"1","7","17","10",927.5
"1","7","17","11",1340.5
"1","7","17","12",1785.25
"1","7","17","13",1623.25
"1","7","17","14",1314.75
"1","7","17","15",648.25
"1","7","17","16",83.0825
"1","7","17","17",0
"1","7","17","18",0
"1","7","17","19",0
"1","7","17","2",0
"1","7","17","20",0
"1","7","17","21",0
"1","7","17","22",0
"1","7","17","23",0
"1","7","17","3",0
"1","7","17","4",0
"1","7","17","5",0
"1","7","17","6",0
"1","7","17","7",44.66175
"1","7","17","8",189.5
"1","7","17","9",509
"1","8","17","0",0
"1","8","17","1",0
"1","8","17","10",2118.75
"1","8","17","11",2863.75
"1","8","17","12",3051.5
"1","8","17","13",2509.5
"1","8","17","14",1737
"1","8","17","15",715
"1","8","17","16",119.6375
"1","8","17","17",0
"1","8","17","18",0
"1","8","17","19",0
"1","8","17","2",0
"1","8","17","20",0
"1","8","17","21",0
"1","8","17","22",0
"1","8","17","23",0
"1","8","17","3",0
"1","8","17","4",0
"1","8","17","5",0
"1","8","17","6",0
"1","8","17","7",114.98
"1","8","17","8",756.5
"1","8","17","9",1433.75
"1","9","17","0",0
"1","9","17","1",0
"1","9","17","10",1581.75
"1","9","17","11",1872
"1","9","17","12",1445
"1","9","17","13",693.25
"1","9","17","14",584.5
"1","9","17","15",617.75
"1","9","17","16",43.425
"1","9","17","17",0
"1","9","17","18",0
"1","9","17","19",0
"1","9","17","2",0
"1","9","17","20",0
"1","9","17","21",0
"1","9","17","22",0
"1","9","17","23",0
"1","9","17","3",0
"1","9","17","4",0
"1","9","17","5",0
"1","9","17","6",0
"1","9","17","7",82.735
"1","9","17","8",715.25
"1","9","17","9",1281
"10","1","16","0",0
"10","1","16","1",0
"10","1","16","10",655.5
"10","1","16","11",1466.25
"10","1","16","12",3228
"10","1","16","13",3695.75
"10","1","16","14",3612.75
"10","1","16","15",934.5
"10","1","16","16",1225.25
"10","1","16","17",810.25
"10","1","16","18",30.2
"10","1","16","19",0
"10","1","16","2",0
"10","1","16","20",0
"10","1","16","21",0
"10","1","16","22",0
"10","1","16","23",0
"10","1","16","3",0
"10","1","16","4",0
"10","1","16","5",0
"10","1","16","6",1.4875
"10","1","16","7",122.525
"10","1","16","8",166.125
"10","1","16","9",236.75
"10","1","17","0",0
"10","1","17","1",0
"10","1","17","10",3355.5
"10","1","17","11",4271.25
"10","1","17","12",4291
"10","1","17","13",4494.5
"10","1","17","14",3937.75
"10","1","17","15",3404.75
"10","1","17","16",2037.75
"10","1","17","17",819.25
"10","1","17","18",69.3175
"10","1","17","19",0
"10","1","17","2",0
"10","1","17","20",0
"10","1","17","21",0
"10","1","17","22",0
"10","1","17","23",0
"10","1","17","3",0
"10","1","17","4",0
"10","1","17","5",0
"10","1","17","6",13.65
"10","1","17","7",286.5
"10","1","17","8",1114.25
"10","1","17","9",2443.5
"10","10","16","0",0
"10","10","16","1",0
"10","10","16","10",3481.25
"10","10","16","11",3740.75
"10","10","16","12",3788.5
"10","10","16","13",3077.75
"10","10","16","14",3597.5
"10","10","16","15",2949.5
"10","10","16","16",1659.25
"10","10","16","17",355.75
"10","10","16","18",12.47
"10","10","16","19",0
"10","10","16","2",0
"10","10","16","20",0
"10","10","16","21",0
"10","10","16","22",0
"10","10","16","23",0
"10","10","16","3",0
"10","10","16","4",0
"10","10","16","5",0
"10","10","16","6",1.445
"10","10","16","7",372.875
"10","10","16","8",1432.75
"10","10","16","9",2314.5
"10","10","17","0",0
"10","10","17","1",0
"10","10","17","10",1100
"10","10","17","11",1882.75
"10","10","17","12",2156
"10","10","17","13",2209
"10","10","17","14",1499.75
"10","10","17","15",493.25
"10","10","17","16",139.825
"10","10","17","17",35.15
"10","10","17","18",1.03
"10","10","17","19",0
"10","10","17","2",0
"10","10","17","20",0
"10","10","17","21",0
"10","10","17","22",0
"10","10","17","23",0
"10","10","17","3",0
"10","10","17","4",0
"10","10","17","5",0
"10","10","17","6",0
"10","10","17","7",102.15
"10","10","17","8",407
"10","10","17","9",1186.5
"10","11","16","0",0
"10","11","16","1",0
"10","11","16","10",2387.5
"10","11","16","11",2944.25
"10","11","16","12",3042.5
"10","11","16","13",2897.75
"10","11","16","14",2703.75
"10","11","16","15",3083
"10","11","16","16",1906.5
"10","11","16","17",531.5
"10","11","16","18",12.9775
"10","11","16","19",0
"10","11","16","2",0
"10","11","16","20",0
"10","11","16","21",0
"10","11","16","22",0
"10","11","16","23",0
"10","11","16","3",0
"10","11","16","4",0
"10","11","16","5",0
"10","11","16","6",0
"10","11","16","7",117.135
"10","11","16","8",1347
"10","11","16","9",2462.75
"10","11","17","0",0
"10","11","17","1",0
"10","11","17","10",462.5
"10","11","17","11",487.25
"10","11","17","12",560.5
"10","11","17","13",448.5
"10","11","17","14",344.5
"10","11","17","15",257.25
"10","11","17","16",211.2
"10","11","17","17",78.625
"10","11","17","18",2.1875
"10","11","17","19",0
"10","11","17","2",0
"10","11","17","20",0
"10","11","17","21",0
"10","11","17","22",0
"10","11","17","23",0
"10","11","17","3",0
"10","11","17","4",0
"10","11","17","5",0
"10","11","17","6",0
"10","11","17","7",27.2025
"10","11","17","8",156.25
"10","11","17","9",441.25
"10","12","16","0",0
"10","12","16","1",0
"10","12","16","10",2096.5
"10","12","16","11",1997
"10","12","16","12",821.5
"10","12","16","13",402
"10","12","16","14",502.25
"10","12","16","15",540
"10","12","16","16",137.65
"10","12","16","17",93.3
"10","12","16","18",0.183
"10","12","16","19",0
"10","12","16","2",0
"10","12","16","20",0
"10","12","16","21",0
"10","12","16","22",0
"10","12","16","23",0
"10","12","16","3",0
"10","12","16","4",0
"10","12","16","5",0
"10","12","16","6",0
"10","12","16","7",297.7
"10","12","16","8",1111
"10","12","16","9",2098
"10","12","17","0",0
"10","12","17","1",0
"10","12","17","10",858.25
"10","12","17","11",1049.5
"10","12","17","12",751.5
"10","12","17","13",1036
"10","12","17","14",1283.5
"10","12","17","15",792
"10","12","17","16",718.25
"10","12","17","17",275.25
"10","12","17","18",17.175
"10","12","17","19",0
"10","12","17","2",0
"10","12","17","20",0
"10","12","17","21",0
"10","12","17","22",0
"10","12","17","23",0
"10","12","17","3",0
"10","12","17","4",0
"10","12","17","5",0
"10","12","17","6",0
"10","12","17","7",23.265
"10","12","17","8",228
"10","12","17","9",430
"10","13","16","0",0
"10","13","16","1",0
"10","13","16","10",4051.75
"10","13","16","11",4607.25
"10","13","16","12",4720.25
"10","13","16","13",4604.5
"10","13","16","14",4102
"10","13","16","15",3237
"10","13","16","16",2020.25
"10","13","16","17",555
"10","13","16","18",7.2525
"10","13","16","19",0
"10","13","16","2",0
"10","13","16","20",0
"10","13","16","21",0
"10","13","16","22",0
"10","13","16","23",0
"10","13","16","3",0
"10","13","16","4",0
"10","13","16","5",0
"10","13","16","6",0.4625
"10","13","16","7",316.25
"10","13","16","8",1746.5
"10","13","16","9",3103.5
"10","13","17","0",0
"10","13","17","1",0
"10","13","17","10",3594.75
"10","13","17","11",4074.5
"10","13","17","12",4224.5
"10","13","17","13",4116
"10","13","17","14",3630.5
"10","13","17","15",2807.5
"10","13","17","16",1680.75
"10","13","17","17",458.25
"10","13","17","18",12.1975
"10","13","17","19",0
"10","13","17","2",0
"10","13","17","20",0
"10","13","17","21",0
"10","13","17","22",0
"10","13","17","23",0
"10","13","17","3",0
"10","13","17","4",0
"10","13","17","5",0
"10","13","17","6",0
"10","13","17","7",313.95
"10","13","17","8",714.25
"10","13","17","9",2631.75
"10","14","16","0",0
"10","14","16","1",0
"10","14","16","10",3487
"10","14","16","11",4050.75
"10","14","16","12",4532.25
"10","14","16","13",4417.25
"10","14","16","14",3962.25
"10","14","16","15",3111.25
"10","14","16","16",1904
"10","14","16","17",498.25
"10","14","16","18",10.785
"10","14","16","19",0
"10","14","16","2",0
"10","14","16","20",0
"10","14","16","21",0
"10","14","16","22",0
"10","14","16","23",0
"10","14","16","3",0
"10","14","16","4",0
"10","14","16","5",0
"10","14","16","6",0
"10","14","16","7",166.55
"10","14","16","8",1115
"10","14","16","9",2130.75
"10","14","17","0",0
"10","14","17","1",0
"10","14","17","10",2113
"10","14","17","11",3739.25
"10","14","17","12",3991.75
"10","14","17","13",3592.75
"10","14","17","14",3213.75
"10","14","17","15",1832
"10","14","17","16",777.5
"10","14","17","17",152.725
"10","14","17","18",9.725
"10","14","17","19",0
"10","14","17","2",0
"10","14","17","20",0
"10","14","17","21",0
"10","14","17","22",0
"10","14","17","23",0
"10","14","17","3",0
"10","14","17","4",0
"10","14","17","5",0
"10","14","17","6",0
"10","14","17","7",57.775
"10","14","17","8",528.5
"10","14","17","9",1856.75
"10","15","16","0",0
"10","15","16","1",0
"10","15","16","10",474.5
"10","15","16","11",513.5
"10","15","16","12",773.25
"10","15","16","13",1382.25
"10","15","16","14",3244
"10","15","16","15",2512.25
"10","15","16","16",1460.25
"10","15","16","17",404
"10","15","16","18",7.64
"10","15","16","19",0
"10","15","16","2",0
"10","15","16","20",0
"10","15","16","21",0
"10","15","16","22",0
"10","15","16","23",0
"10","15","16","3",0
"10","15","16","4",0
"10","15","16","5",0
"10","15","16","6",0
"10","15","16","7",26.9775
"10","15","16","8",148.75
"10","15","16","9",401.5
"10","15","17","0",0
"10","15","17","1",0
"10","15","17","10",390.25
"10","15","17","11",1401.5
"10","15","17","12",1677.5
"10","15","17","13",1895.25
"10","15","17","14",1508
"10","15","17","15",1229.25
"10","15","17","16",471
"10","15","17","17",114.025
"10","15","17","18",2.2125
"10","15","17","19",0
"10","15","17","2",0
"10","15","17","20",0
"10","15","17","21",0
"10","15","17","22",0
"10","15","17","23",0
"10","15","17","3",0
"10","15","17","4",0
"10","15","17","5",0
"10","15","17","6",0
"10","15","17","7",13.324
"10","15","17","8",65.15
"10","15","17","9",148.2
"10","16","16","0",0
"10","16","16","1",0
"10","16","16","10",230.325
"10","16","16","11",430.25
"10","16","16","12",970.25
"10","16","16","13",1172.25
"10","16","16","14",1295
"10","16","16","15",815.25
"10","16","16","16",686.75
"10","16","16","17",311.35
"10","16","16","18",4.5025
"10","16","16","19",0
"10","16","16","2",0
"10","16","16","20",0
"10","16","16","21",0
"10","16","16","22",0
"10","16","16","23",0
"10","16","16","3",0
"10","16","16","4",0
"10","16","16","5",0
"10","16","16","6",0
"10","16","16","7",42.92
"10","16","16","8",110.6
"10","16","16","9",59.9
"10","16","17","0",0
"10","16","17","1",0
"10","16","17","10",3756.5
"10","16","17","11",4288.5
"10","16","17","12",4485.75
"10","16","17","13",4356.25
"10","16","17","14",3868
"10","16","17","15",3031
"10","16","17","16",1829.25
"10","16","17","17",436.4
"10","16","17","18",9.1425
"10","16","17","19",0
"10","16","17","2",0
"10","16","17","20",0
"10","16","17","21",0
"10","16","17","22",0
"10","16","17","23",0
"10","16","17","3",0
"10","16","17","4",0
"10","16","17","5",0
"10","16","17","6",0.17425
"10","16","17","7",257.25
"10","16","17","8",1572.25
"10","16","17","9",2867
"10","17","16","0",0
"10","17","16","1",0
"10","17","16","10",3172
"10","17","16","11",4024.75
"10","17","16","12",4219.75
"10","17","16","13",4095.75
"10","17","16","14",3501.75
"10","17","16","15",2736.75
"10","17","16","16",1520.75
"10","17","16","17",342.25
"10","17","16","18",4.61325
"10","17","16","19",0
"10","17","16","2",0
"10","17","16","20",0
"10","17","16","21",0
"10","17","16","22",0
"10","17","16","23",0
"10","17","16","3",0
"10","17","16","4",0
"10","17","16","5",0
"10","17","16","6",0
"10","17","16","7",115.35
"10","17","16","8",792
"10","17","16","9",1989.75
"10","17","17","0",0
"10","17","17","1",0
"10","17","17","10",3787
"10","17","17","11",4146
"10","17","17","12",4517
"10","17","17","13",4355.5
"10","17","17","14",3852.25
"10","17","17","15",2996.5
"10","17","17","16",1824.75
"10","17","17","17",414.925
"10","17","17","18",8.0725
"10","17","17","19",0
"10","17","17","2",0
"10","17","17","20",0
