Timestamp,New Nexus 1272 Meter,Inverters,Site Performance Estimate
1/20/17,3299,3787,17623
1/21/17,20223,20879,17765
1/22/17,13445,13980,17908
1/23/17,1954,2447,18050
1/24/17,3224,3709,18192
1/25/17,4990,5446,18335
1/26/17,2845,3341,18477
1/27/17,1776,2271,18620
1/28/17,9576,10091,18762
1/29/17,1926,2373,18905
1/30/17,15388,16065,19047
1/31/17,10491,11140,19190
2/1/17,13025,13716,19347
2/2/17,23766,24585,19505
2/3/17,24407,25191,19663
2/4/17,15678,16241,19820
2/5/17,26818,27558,19978
2/6/17,3955,4422,20136
2/7/17,5896,6383,20293
2/8/17,1405,1896,20451
2/9/17,1249,1773,20609
2/10/17,11118,11702,20766
2/11/17,20204,20898,20924
2/12/17,27940,28664,21082
2/13/17,24545,25261,21239
2/14/17,24902,25617,21397
2/15/17,30738,31502,21454
2/16/17,20534,21195,21512
2/17/17,29171,29973,21569
2/18/17,21791,22477,21627
2/19/17,20061,20726,21684
2/20/17,20603,21287,21742
2/21/17,5020,5489,21799
2/22/17,21056,21775,21857
2/23/17,8761,9243,21914
2/24/17,13222,13472,21971
2/25/17,22957,23598,22029
2/26/17,22934,23588,22086
2/27/17,22734,23467,22144
2/28/17,2934,3416,22201
3/1/17,5089,5592,22253
3/2/17,26307,27052,22305
3/3/17,33730,34579,22357
3/4/17,32550,33340,22408
3/5/17,17877,18516,22460
3/6/17,2206,2679,22512
3/7/17,30561,31333,22564
3/8/17,34008,34840,22616
3/9/17,27517,28306,22668
3/10/17,33985,34814,22720
3/11/17,24877,25592,22771
3/12/17,30505,31249,22823
3/13/17,69,580,22875
3/14/17,2485,2941,22927
3/15/17,22202,22813,22979
3/16/17,35013,35771,23095
3/17/17,5733,6146,23277
3/18/17,7717,8140,23459
3/19/17,35093,35855,23641
3/20/17,21048,21654,23823
3/21/17,19101,19671,24004
3/22/17,36952,37680,24186
3/23/17,11774,12225,24368
3/24/17,30304,31050,24550
3/25/17,7715,8155,24732
3/26/17,13132,13622,24913
3/27/17,12157,12651,25095
3/28/17,24466,25093,25277
3/29/17,12356,12814,25459
3/30/17,6596,7017,25640
3/31/17,5228,5601,25822
4/1/17,33664,34371,26010
4/2/17,27664,28304,26198
4/3/17,8315,8730,26386
4/4/17,12739,13194,26573
4/5/17,8433,8828,26761
4/6/17,25259,25844,26949
4/7/17,38436,39197,27137
4/8/17,36475,37237,27325
4/9/17,26912,27589,27512
4/10/17,10874,11365,27700
4/11/17,20575,21140,27888
4/12/17,35846,36635,28076
4/13/17,23822,24473,28263
4/14/17,25408,26121,28451
4/15/17,32207,33003,28639
4/16/17,11385,11888,28659
4/17/17,3822,4010,28680
4/18/17,null,null,28700
4/19/17,1230,1277,28721
4/20/17,8227,8515,28741
4/21/17,21345,22074,28762
4/22/17,30315,31051,28783
4/23/17,38525,39354,28803
4/24/17,37749,38564,28824
4/25/17,34443,35268,28844
4/26/17,22668,23390,28865
4/27/17,10860,11426,28885
4/28/17,5773,6314,28906
4/29/17,4021,4487,28926
4/30/17,6556,7081,28947
5/1/17,13530,14126,28967
5/2/17,28331,29112,28986
5/3/17,10366,10922,29006
5/4/17,4645,5180,29026
5/5/17,38899,39832,29046
5/6/17,30277,31074,29066
5/7/17,39156,40086,29086
5/8/17,25765,26564,29105
5/9/17,31704,32614,29125
5/10/17,27860,28754,29145
5/11/17,1438,1202,29165
5/12/17,13475,14457,29185
5/13/17,38641,38705,29205
5/14/17,38578,38677,29224
5/15/17,37673,37786,29244
5/16/17,36997,37100,29286
5/17/17,27127,27248,29350
5/18/17,30446,30629,29414
5/19/17,14241,14363,29478
5/20/17,20720,20861,29542
5/21/17,26109,26170,29606
5/22/17,38703,38775,29670
5/23/17,16090,16224,29734
5/24/17,8170,8324,29799
5/25/17,19900,19978,29863
5/26/17,22350,22488,29927
5/27/17,23370,23505,29991
5/28/17,27080,27236,30055
5/29/17,34290,34442,30119
5/30/17,34950,35074,30183
5/31/17,40130,40245,30247
6/1/17,38700,38827,30313
6/2/17,38390,38568,30379
6/3/17,34100,34298,30445
6/4/17,31930,32115,30511
6/5/17,37730,37906,30578
6/6/17,29930,40189,30644
6/7/17,46740,40181,30710
6/8/17,38900,39044,30776
6/9/17,34100,34267,30842
6/10/17,38670,38834,30908
6/11/17,37960,38147,30974
6/12/17,34840,35034,31041
6/13/17,30080,30293,31107
6/14/17,29670,29842,31173
6/15/17,null,null,31239
6/16/17,null,20976,31223
6/17/17,null,10268,31206
6/18/17,null,10744,31190
6/19/17,null,12760,31173
6/20/17,null,11647,31157
6/21/17,null,9427,31141
6/22/17,null,8129,31124
6/23/17,167790,7070,31108
6/24/17,37710,12730,31091
6/25/17,38280,12936,31075
6/26/17,29280,9928,31059
6/27/17,39800,13460,31042
6/28/17,31080,10550,31026
6/29/17,29360,9970,31010
6/30/17,20790,7094,30993
7/1/17,35770,12116,30977
7/2/17,37640,12776,30961
7/3/17,36050,12268,30945
7/4/17,31930,10848,30930
7/5/17,24690,8418,30914
7/6/17,30830,10456,30898
7/7/17,26100,10177,30882
7/8/17,36140,36269,30866
7/9/17,32500,32666,30850
7/10/17,21320,21542,30834
7/11/17,14070,14309,30818
7/12/17,29620,29784,30803
7/13/17,19070,19288,30787
7/14/17,38460,38579,30771
7/15/17,30270,30399,30755
7/16/17,31230,31392,30700
7/17/17,36240,36389,30607
7/18/17,36940,37095,30513
7/19/17,32170,32352,30420
7/20/17,25630,25836,30326
7/21/17,31420,31601,30232
7/22/17,21920,22140,30139
7/23/17,29560,29748,30045
7/24/17,26120,26263,29952
7/25/17,36650,36790,29858
7/26/17,28830,28983,29765
7/27/17,14490,14737,29671
7/28/17,25800,25950,29577
7/29/17,37540,37640,29484
7/30/17,35270,35410,29390
7/31/17,33130,33291,29297
8/1/17,21650,21828,29203
8/2/17,29020,29194,29110
8/3/17,27280,27461,29016
8/4/17,22840,22924,28923
8/5/17,29010,29110,28829
8/6/17,10390,10605,28736
8/7/17,21440,21582,28642
8/8/17,36050,36183,28549
8/9/17,35080,35216,28455
8/10/17,31290,31449,28362
8/11/17,27490,27643,28268
8/12/17,35380,35501,28175
8/13/17,33610,33738,28081
8/14/17,29520,29671,27988
8/15/17,31200,31368,27894
8/16/17,10680,10910,27792
8/17/17,25500,25669,27683
8/18/17,32360,32503,27573
8/19/17,25790,25978,27463
8/20/17,16190,16347,27353
8/21/17,19090,19316,27243
8/22/17,22930,23102,27133
8/23/17,33630,33758,27024
8/24/17,31950,32084,26914
8/25/17,32080,32186,26804
8/26/17,31890,32036,26694
8/27/17,29080,29241,26584
8/28/17,24770,24982,26475
8/29/17,28150,28299,26365
8/30/17,29730,29873,26255
8/31/17,23160,23294,26145
9/1/17,30910,30971,26032
9/2/17,36670,36736,25918
9/3/17,32100,32237,25805
9/4/17,24750,24948,25691
9/5/17,33890,33975,25578
9/6/17,27280,27330,25465
9/7/17,29520,29592,25351
9/8/17,33080,33204,25238
9/9/17,34050,34158,25124
9/10/17,35110,35197,25011
9/11/17,29380,29472,24897
9/12/17,23040,23176,24784
9/13/17,9280,9515,24671
9/14/17,25080,25236,24557
9/15/17,30420,30593,24444
9/16/17,26380,26555,24355
9/17/17,23480,23697,24267
9/18/17,21240,21443,24178
9/19/17,15950,16174,24089
9/20/17,27390,27582,24001
9/21/17,24780,24996,23912
9/22/17,22650,22893,23823
9/23/17,27980,28183,23735
9/24/17,28960,29165,23646
9/25/17,24700,24911,23557
9/26/17,26170,26371,23469
9/27/17,21830,21979,23380
9/28/17,32330,32424,23292
9/29/17,31670,31786,23203
9/30/17,32900,32979,23114
10/1/17,29880,29982,23029
10/2/17,23730,23899,22943
10/3/17,9860,10099,22857
10/4/17,7150,7416,22771
10/5/17,7310,7536,22686
10/6/17,5000,5239,22600
10/7/17,19400,19562,22514
10/8/17,27330,27449,22428
10/9/17,22830,23026,22342
10/10/17,11480,11687,22257
10/11/17,3210,3423,22171
10/12/17,7200,7357,22085
10/13/17,27640,27741,22000
10/14/17,21230,21437,21914
10/15/17,9050,9210,21828
10/16/17,30250,30306,21676
10/17/17,29980,30038,21456
10/18/17,29510,29589,21237
10/19/17,26990,27093,21018
10/20/17,25560,25673,20799
10/21/17,14440,14594,20580
10/22/17,5000,5244,20360
10/23/17,2980,3190,20141
10/24/17,5240,5427,19922
10/25/17,9280,13737,19703
10/26/17,27410,27465,19484
10/27/17,15710,15797,19264
10/28/17,6220,6400,19045
10/29/17,8520,8537,18826
